sid,name,manufacturer,game_type,denomination,volatility_text,volatility_score,location,map_url,source_url,casino,scraped_at
1788,Mystical Mermaid 20 line,IGT,Video,$0.02,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=1788,https://www.coushattacasinoresort.com/slot-map.php?sid=1788,Coushatta Casino Resort,2026-08-27T20:35:47.318963+00:00
220,Mystical Unicorn Wheel (Md) (Prog),Light & Wonder,Video,$0.01,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=220,https://www.coushattacasinoresort.com/slot-map.php?sid=220,Coushatta Casino Resort,2026-08-27T20:35:19.909780+00:00
221,Mystical Unicorn Wheel (Md) (Prog),Light & Wonder,Video,$0.02,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=221,https://www.coushattacasinoresort.com/slot-map.php?sid=221,Coushatta Casino Resort,2026-08-27T20:35:19.896712+00:00
222,Mystical Unicorn Wheel (Md) (Prog),Light & Wonder,Video,$0.05,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=222,https://www.coushattacasinoresort.com/slot-map.php?sid=222,Coushatta Casino Resort,2026-08-27T20:35:19.907540+00:00
223,Mystical Unicorn Wheel (Md) (Prog),Light & Wonder,Video,$0.10,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=223,https://www.coushattacasinoresort.com/slot-map.php?sid=223,Coushatta Casino Resort,2026-08-27T20:35:19.901589+00:00
1242,Nfl-Super Grand Champions Mc Md Pr,Aristocrat,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1242,https://www.coushattacasinoresort.com/slot-map.php?sid=1242,Coushatta Casino Resort,2026-08-27T20:35:37.656022+00:00
56,Night Sky,IGT,Video,$0.01,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=56,https://www.coushattacasinoresort.com/slot-map.php?sid=56,Coushatta Casino Resort,2026-08-27T20:35:16.568475+00:00
36,Noah'S Ark,IGT,Video,$0.01,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=36,https://www.coushattacasinoresort.com/slot-map.php?sid=36,Coushatta Casino Resort,2026-08-27T20:35:16.200338+00:00
519,Noahs Ark,IGT,Video,$1.00,Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=519,https://www.coushattacasinoresort.com/slot-map.php?sid=519,Coushatta Casino Resort,2026-08-27T20:35:24.850306+00:00
451,Ocean Magic (Prog) (Md) {Car Bank},IGT,Video,$0.01,Low,2.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=451,https://www.coushattacasinoresort.com/slot-map.php?sid=451,Coushatta Casino Resort,2026-08-27T20:35:23.497436+00:00
